id,Hectare,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions
1241,21E,10172018,Adult,Gray,White,Above Ground,Climbs small tree,False,False,False,True,True,,False,False,False,False,True,False,False,False,walks from
1242,13D,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,True,False,
1243,03F,10062018,Juvenile,Gray,"Cinnamon, White",Ground Plane,close to tall tree & light post,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1244,42C,10072018,,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False,
1245,14A,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1246,41E,10072018,Adult,Cinnamon,White,Ground Plane,rubbing belly on ground,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1247,21D,10082018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
1248,04I,10062018,Adult,,,Above Ground,Tree,False,False,True,False,False,building nest!,False,False,False,False,False,False,False,False,
1249,37C,10122018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1250,38C,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,True,False,False,False,False,False,False,True,
1251,02G,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1252,05B,10132018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1253,37I,10102018,Adult,Cinnamon,Gray,Above Ground,in tree,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1254,01F,10192018,Juvenile,Gray,,Above Ground,,False,False,False,False,False,hiding,False,False,False,False,False,False,False,False,
1255,12D,10142018,Adult,Gray,,Ground Plane,,True,False,False,True,False,,False,False,False,False,True,False,True,False,
1256,10I,10102018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,True,
1257,07B,10082018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False,
1258,02C,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
1259,05C,10102018,Adult,Gray,White,Ground Plane,,True,False,True,False,False,,False,False,False,False,False,False,False,False,
1260,02A,10102018,Adult,Cinnamon,,Ground Plane,,True,True,False,False,False,chasing #5,False,False,False,False,False,False,False,False,
1261,09F,10132018,Adult,Black,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,True,
1262,16E,10182018,Juvenile,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,True,False,False,False,False,False,True,False,
1263,06C,10202018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1264,02C,10132018,Adult,Gray,White,Ground Plane,,True,True,False,False,False,,False,False,False,False,False,False,False,False,
1265,23I,10192018,Adult,Gray,,Ground Plane,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1266,06H,10082018,Adult,Cinnamon,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False,
1267,06I,10132018,Adult,Black,,Ground Plane,Bushes,False,True,False,False,False,,False,False,False,False,False,False,False,False,
1268,31C,10102018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
1269,29A,10192018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1270,20C,10182018,Juvenile,Cinnamon,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,True,runs from (dog)
1271,22E,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1272,25I,10072018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
1273,40D,10132018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
1274,03G,10082018,Adult,Gray,,Ground Plane,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1275,07H,10062018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1276,03A,10172018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False,
1277,33B,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1278,07F,10082018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1279,39I,10132018,Adult,Gray,,Ground Plane,along the road,False,False,False,True,False,digging,False,False,False,False,False,False,False,False,
1280,39D,10082018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1281,01C,10132018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1282,06E,10102018,Adult,Cinnamon,White,Ground Plane,small open area but w/ 7 large oak trees,False,True,False,True,False,chasing #3,False,False,False,False,False,False,True,False,
1283,39D,10122018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,True,
1284,36E,10122018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False,
1285,07H,10062018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False,
1286,35D,10192018,Adult,Gray,"Black, Cinnamon, White",Ground Plane,,False,False,False,False,True,very quietly searching in long grass,False,False,False,False,False,False,False,False,
1287,04D,10082018,Adult,Cinnamon,"Gray, White",Above Ground,,True,False,False,False,False,was chased by # 11,True,False,False,False,False,False,False,True,
1288,07F,10082018,Adult,Gray,,Ground Plane,bush,False,True,False,False,False,,False,False,False,False,False,False,True,False,
1289,11D,10062018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
1290,15G,10082018,Adult,Cinnamon,White,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,True,
1291,11H,10132018,Adult,Gray,,Ground Plane,,False,False,False,False,False,planting nut,False,False,False,False,False,False,True,False,
1292,33E,10122018,Adult,Gray,White,Ground Plane,,False,False,False,False,False,playing,False,False,False,False,False,False,False,False,
1293,03D,10102018,Adult,Gray,,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True,
1294,32D,10132018,Adult,Cinnamon,,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,True,False,True,
1295,14D,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
1296,06I,10132018,Adult,Black,Gray,Ground Plane,Grass,False,False,False,True,False,,False,False,False,False,True,False,False,False,
1297,03A,10122018,Adult,Gray,"Black, Cinnamon",Above Ground,,True,False,False,False,False,,False,False,False,False,True,False,False,True,
1298,32C,10142018,Adult,Gray,,Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,False,True,
1299,04D,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,True,False,True,,False,False,False,False,False,False,True,False,
1300,18I,10072018,Adult,Gray,Cinnamon,Above Ground,,False,True,True,False,False,canoodling w/ #9,False,False,False,False,False,False,True,False,
1301,32I,10072018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1302,10G,10062018,Juvenile,Gray,White,Ground Plane,,False,True,False,False,False,chasing (#3),True,False,False,False,False,False,False,False,
1303,32D,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,False,True,False,,False,False,False,False,True,False,False,True,
1304,37H,10182018,Adult,Gray,,Above Ground,Large tree by (fence of the conservatory) about to climb up,False,False,True,False,False,,False,False,False,False,False,False,False,False,"busy,ready to climb"
1305,30I,10062018,Adult,Gray,White,Ground Plane,,False,False,False,False,False,sitting there,False,False,False,False,False,False,False,True,
1306,03F,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
1307,41C,10072018,Adult,Black,,Ground Plane,,True,False,False,True,False,,False,False,False,False,False,False,False,True,
1308,37E,10132018,Adult,Gray,White,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False,
1309,36H,10102018,Adult,Gray,Black,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1310,42D,10142018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
1311,12G,10072018,,Cinnamon,Gray,Ground Plane,bushes,False,False,False,False,True,,False,False,False,False,False,False,False,False,friendly
1312,13D,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,True,True,True,False,
1313,22C,10062018,Juvenile,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1314,01A,10142018,Juvenile,Gray,,Ground Plane,,True,False,False,False,False,,True,False,False,False,False,False,False,True,
1315,34D,10072018,Adult,Gray,White,Above Ground,,False,False,True,False,True,,False,False,False,False,True,False,False,True,
1316,15G,10192018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,True,False,
1317,11I,10122018,Adult,Gray,,Above Ground,,True,False,True,False,True,,False,False,False,False,False,False,False,False,
1318,11E,10122018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1319,39D,10082018,Adult,Gray,,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
1320,38E,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,interested in my presence
1321,15D,10072018,Adult,Gray,,Ground Plane,,False,True,False,False,True,chasing #7,False,False,False,False,False,False,True,False,
1322,14E,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,True,False,False,"curious,but not expecting food"
1323,13A,10172018,Adult,Cinnamon,,,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
1324,41E,10072018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,man/pit bull mix wandered
1325,03C,10072018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1326,02G,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1327,12G,10122018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1328,06C,10072018,Adult,Gray,White,Above Ground,another tree,True,False,True,False,False,,False,False,False,False,False,False,False,True,
1329,03D,10062018,,Gray,,Above Ground,tree,True,False,True,False,False,,False,False,False,False,False,False,False,False,"did not run from humans,but ran straight to tree & climbed up"
1330,19H,10102018,,Gray,"Cinnamon, White",Ground Plane,near base of small tree,True,False,False,True,True,,False,False,False,True,False,True,False,False,ran from human with dog
1331,26I,10102018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,False,True,,False,False,False,False,False,False,True,False,
1332,06B,10122018,Adult,Gray,Cinnamon,Ground Plane,by bike racks at Tavern on the Green,False,False,False,False,True,"walking,exploring - digging in flower bed",False,False,False,False,False,False,False,True,
1333,01G,10102018,Adult,Gray,Cinnamon,Above Ground,,False,False,False,False,False,laying on tree branch,False,False,False,True,True,False,False,False,
1334,30I,10062018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
1335,08I,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,"very curious,looked like it expected food"
1336,05G,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
1337,10C,10182018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1338,13D,10182018,Adult,Gray,Cinnamon,Above Ground,,True,False,True,False,False,scratching,False,False,False,False,False,False,True,False,
1339,19C,10182018,Juvenile,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
1340,06B,10172018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,True,False,False,
1341,32C,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
1342,28A,10072018,Adult,Gray,White,,,False,False,False,False,False,looking at me & #5,True,False,False,False,True,False,False,False,freezes
1343,42C,10132018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1344,32C,10132018,Juvenile,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1345,34E,10062018,Juvenile,Black,"Gray, White",Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,False,True,
1346,07E,10132018,Adult,Gray,Cinnamon,Ground Plane,Ground & Tree Base,True,False,False,True,True,,False,False,False,False,False,False,False,True,
1347,33B,10102018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
1348,36B,10132018,Adult,Gray,,Above Ground,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
1349,01B,10122018,Adult,Gray,White,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,True,False,
1350,08F,10122018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1351,32D,10132018,Adult,Cinnamon,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1352,32C,10132018,Adult,Gray,,Ground Plane,,False,False,False,False,True,buried nut,False,False,False,False,True,False,False,False,
1353,18I,10172018,Adult,Cinnamon,Black,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
1354,09A,10132018,Juvenile,Cinnamon,Gray,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,True,
1355,37H,10182018,Adult,Gray,White,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,False,True,was with a lot of robins
1356,32B,10102018,Juvenile,Gray,,Above Ground,in tree,False,False,True,False,False,,False,False,False,False,True,False,False,True,
1357,08I,10062018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1358,14D,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1359,20D,10142018,Adult,Gray,,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
1360,33B,10102018,Adult,,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,True,
1361,32B,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1362,07G,10102018,Adult,Cinnamon,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1363,07F,10082018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False,
1364,02C,10102018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1365,15C,10172018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,True,,True,False,False,False,True,True,False,False,
1366,38G,10202018,Adult,Gray,Cinnamon,Ground Plane,,False,True,False,False,False,,False,True,False,True,False,False,True,False,
1367,38G,10202018,Adult,Gray,Cinnamon,Ground Plane,,False,True,False,False,False,,False,True,False,True,False,False,True,False,
1368,06I,10132018,Adult,Cinnamon,,Ground Plane,"Flowers, grass",False,False,False,True,False,,False,False,False,False,False,False,False,False,
1369,17E,10182018,Adult,Gray,,Ground Plane,On the rock,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1370,39F,10062018,Adult,Gray,,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True,ran up tree when approached
1371,41F,10192018,,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
1372,40C,10062018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
1373,28B,10102018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1374,36F,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,True,runs from (me)
1375,07B,10082018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1376,07C,10202018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1377,22C,10062018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
1378,01C,10132018,Adult,Cinnamon,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1379,02A,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
1380,38C,10192018,Adult,Gray,White,Above Ground,,True,False,True,True,False,,True,False,False,False,True,False,False,True,
1381,32C,10142018,Adult,Cinnamon,,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
1382,15G,10192018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
1383,03C,10082018,Adult,Cinnamon,"Gray, White",Above Ground,,False,False,False,False,False,walked between trees,False,False,False,False,False,False,True,False,
1384,36A,10132018,,Gray,Cinnamon,Above Ground,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1385,07F,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1386,09H,10062018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
1387,12G,10072018,Juvenile,,,Above Ground,,False,False,False,True,False,acorns,False,False,False,False,False,False,False,False,
1388,37D,10142018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
1389,17E,10172018,Adult,Gray,,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
1390,35E,10202018,Adult,Gray,Cinnamon,Above Ground,,False,False,False,False,False,"hunkered down,tail over body; sitting perfectly still",False,False,False,False,False,False,True,False,
1391,29A,10192018,Juvenile,Black,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,True,False,True,"ran from,but now approaching. kind of weirding me out."
1392,19C,10182018,Adult,Gray,Cinnamon,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
1393,39F,10142018,Juvenile,Cinnamon,,Above Ground,up/down tree,True,False,True,False,True,,False,False,False,False,True,False,True,False,
1394,13D,10142018,Juvenile,Gray,White,Above Ground,,False,True,True,True,False,,False,False,False,False,False,False,False,True,
1395,16C,10182018,Adult,Gray,"Cinnamon, White",Above Ground,,False,True,False,True,True,,False,False,False,False,True,False,True,False,
1396,18G,10142018,Juvenile,Gray,White,Above Ground,,False,False,True,False,False,,True,False,False,False,False,False,True,False,looking
1397,32E,10072018,Adult,Gray,,Above Ground,literally fell to ground from 50 feet up,False,False,False,False,False,falling,False,False,False,False,False,False,False,True,
1398,14E,10082018,Adult,Gray,,Ground Plane,,False,False,False,True,True,burying,False,False,False,False,False,False,True,False,
1399,01E,10062018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1400,13G,10082018,Adult,Gray,Cinnamon,Ground Plane,lawn @ edge of landscaped area,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1401,10C,10182018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1402,09B,10132018,Juvenile,Gray,White,Ground Plane,,True,False,False,False,False,,False,False,False,True,False,False,True,False,
1403,12F,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,stared
1404,37C,10132018,Adult,Gray,White,,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1405,06E,10102018,Juvenile,,,Ground Plane,along dirt path by cross-town car road. saw movement in a shrub/then caught sight a little fluffy tail,False,False,False,False,False,,False,False,False,False,False,False,True,False,
1406,15D,10072018,Adult,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
1407,05F,10072018,Adult,Gray,Cinnamon,Above Ground,fence,True,False,False,True,False,,False,False,False,False,False,False,False,False,
1408,37C,10132018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1409,38C,10192018,Adult,Gray,White,Above Ground,,True,False,True,True,False,,True,False,False,False,True,False,False,True,
1410,01B,10192018,Juvenile,Gray,White,Above Ground,in tree,False,True,False,False,False,,False,False,False,False,False,False,False,False,
1411,39A,10132018,Juvenile,Cinnamon,"Gray, White",Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,False,True,
1412,01A,10072018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,True,False,True,False,
1413,41B,10102018,Adult,Gray,White,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
1414,16E,10182018,Juvenile,Cinnamon,Gray,Ground Plane,,False,True,False,False,False,,False,False,False,True,False,False,False,False,gets distance from people but then continues to chase #1
1415,11A,10132018,Adult,Cinnamon,Gray,Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,False,False,
1416,02F,10142018,Adult,Gray,,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
1417,17F,10072018,Adult,Cinnamon,White,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1418,03E,10082018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
1419,20G,10182018,Adult,Gray,,Above Ground,in tree,True,False,False,False,False,,True,False,False,False,False,False,False,False,
1420,25I,10072018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,True,True,False,False,True,
1421,35I,10062018,Adult,Gray,,Above Ground,,False,False,True,True,False,,False,False,False,False,False,False,True,False,
1422,24I,10192018,Adult,Gray,White,Above Ground,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
1423,14D,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1424,27I,10072018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,True,,False,False,False,False,False,False,True,False,
1425,17G,10172018,Adult,Gray,,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True,
1426,02F,10142018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1427,14H,10122018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False,approaches (someone was feeding it)
1428,06I,10062018,Adult,Gray,Cinnamon,Above Ground,,True,False,True,True,True,,False,False,False,False,False,False,False,True,runs from (someone sneezed)
1429,13E,10082018,Adult,Gray,White,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,True,False,
1430,35C,10072018,Juvenile,Gray,Cinnamon,Above Ground,(white oak),False,False,False,False,False,sitting still,False,False,False,False,False,False,False,False,
1431,33A,10082018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,acknowledged
1432,42B,10142018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
1433,05D,10182018,Adult,Gray,,Above Ground,On low fence,False,False,False,True,False,,False,False,False,False,False,False,False,True,
1434,34F,10122018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1435,02E,10102018,Juvenile,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,False,,True,False,False,False,False,False,True,False,
1436,03I,10132018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1437,07G,10182018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1438,09E,10082018,Adult,Gray,White,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
1439,10B,10062018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
1440,23H,10192018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
1441,35B,10132018,Adult,Gray,,Ground Plane,,True,False,True,True,False,"got fed twice by grandpa,grabbed from grass and ate in tree",False,False,False,False,False,True,True,True,"approaches (grandpa with food),runs from (kid),kid was slowly creeping up on it; it eventually climbed up."
1442,14B,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
1443,04D,10122018,Adult,Gray,Cinnamon,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,True,False,
1444,21A,10192018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1445,02D,10072018,Adult,Gray,,Above Ground,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
1446,34C,10122018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False,
1447,04C,10102018,Adult,Cinnamon,Gray,Ground Plane,,False,True,False,False,True,,False,False,False,False,False,False,True,False,
1448,37E,10132018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,True,False,,True,False,False,False,False,False,False,True,
1449,32F,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
1450,18H,10182018,Adult,Gray,Cinnamon,Above Ground,Tree,True,True,False,False,False,playing?,False,False,False,False,False,False,False,False,
1451,28B,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,wresting w/ branch,False,False,False,False,False,False,False,False,
1452,40E,10142018,Adult,Gray,White,Ground Plane,on rocks/bushy rocks,True,False,False,False,False,hiding from bird,False,True,False,False,True,False,True,False,
1453,05D,10182018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1454,07H,10062018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,True,"running (along ground,up tree)",False,False,False,False,False,False,True,False,
1455,11E,10122018,Adult,Gray,White,Ground Plane,,True,False,False,True,True,"foraging (foraged,ran to tree root,munched)",False,False,False,False,False,False,True,False,
1456,13F,10072018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
1457,33I,10062018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
1458,33G,10132018,?,,,Above Ground,,False,False,False,False,False,"peeking out of tree,did *not* come out",False,False,False,False,False,False,False,False,
1459,11E,10122018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1460,39D,10122018,Adult,Gray,White,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
1461,33F,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,False,True,True,,False,False,False,False,True,False,False,True,
1462,33A,10182018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
1463,37H,10062018,Adult,Gray,Cinnamon,Above Ground,tree,True,False,True,False,False,,False,False,False,False,False,False,False,False,
1464,13C,10192018,Adult,Gray,White,Ground Plane,,True,False,False,True,False,,False,False,False,False,False,False,False,True,
1465,20F,10072018,Juvenile,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
1466,22B,10132018,Adult,Gray,Cinnamon,Above Ground,tree,False,False,True,False,False,,False,False,False,False,False,False,False,False,looked down on me like her imperial subject
1467,29B,10102018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
