id,Hectare,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions
92,22F,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,True,False,
93,07F,10082018,Juvenile,Gray,,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True,
94,10F,10192018,Adult,Black,,Above Ground,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False,
95,10A,10062018,Juvenile,Gray,,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False,
96,38F,10132018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False,
97,41B,10142018,Adult,Gray,White,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True,
98,36A,10132018,,Gray,,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True,
99,05C,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
100,32E,10172018,Adult,Gray,,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False,
101,31A,10172018,Adult,Gray,White,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
102,42G,10182018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True,
103,37D,10142018,Adult,Gray,,Ground Plane,,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True,
104,37E,10062018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,me
105,24B,10132018,,Gray,,Above Ground,,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True,
106,07G,10102018,Adult,Gray,,Above Ground,,True,False,False,False,False,,False,False,False,False,True,False,False,True,
107,05C,10102018,Adult,Gray,White,Above Ground,way up a tree!,False,False,True,False,False,,False,False,False,False,False,False,False,False,
108,15I,10082018,Adult,Gray,Cinnamon,Above Ground,tree,False,False,True,True,False,,False,False,False,False,False,False,True,False,
109,19B,10182018,Adult,Gray,"Black, Cinnamon, White",Above Ground,,True,False,False,False,False,flying,False,False,False,False,False,False,False,False,
110,13D,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
111,36I,10072018,Juvenile,Gray,White,Ground Plane,,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False,
112,41B,10102018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
113,35B,10102018,Adult,Gray,,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False,
114,40D,10132018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
115,38B,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False,
116,40I,10182018,Adult,Cinnamon,,Ground Plane,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False,
117,07B,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
118,13D,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
119,16G,10102018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True,
120,40A,10102018,Adult,Gray,Cinnamon,Ground Plane,bottom of great hill,False,False,False,True,True,,False,False,False,True,False,False,True,True,dog chased
121,15I,10122018,Adult,Cinnamon,,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False,
122,03B,10072018,Adult,Gray,,Above Ground,in tree,False,False,True,False,False,,False,False,False,False,False,False,False,False,
123,21D,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
124,10B,10142018,Adult,Gray,White,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,False,False,avoided people
125,13E,10082018,Adult,Gray,,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
126,41A,10072018,Adult,Black,,Ground Plane,,True,False,True,True,False,,False,False,False,False,False,False,False,True,
127,02F,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,curious but shy
128,20B,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False,
129,26A,10062018,Adult,Gray,Cinnamon,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,,False,False,False,True,False,False,False,False,studying us looking for food
